../results/qa194_reverse-2-01.csv,../results/qa194_reverse-2-02.csv,avg
4725.689192000017,4855.622408000009,4790.655800000013
4725.689192000017,4855.622408000009,4790.655800000013
4725.689192000017,4855.622408000009,4790.655800000013
4725.689192000017,4855.622408000009,4790.655800000013
4725.689192000017,4855.622408000009,4790.655800000013
4725.689192000017,4855.622408000009,4790.655800000013
4725.689192000017,4855.622408000009,4790.655800000013
4725.689192000017,4855.622408000009,4790.655800000013
4725.689192000017,4855.622408000009,4790.655800000013
4725.689192000017,4855.622408000009,4790.655800000013
4725.689192000017,4846.04464000001,4785.866916000014
4725.689192000017,4835.177968000009,4780.4335800000135
4725.689192000017,4835.177968000009,4780.4335800000135
4725.689192000017,4835.177968000009,4780.4335800000135
4725.689192000017,4835.133520000009,4780.411356000013
4725.689192000017,4833.533528000009,4779.6113600000135
4725.689192000017,4833.266864000009,4779.478028000013
4725.689192000017,4827.822432000009,4776.755812000013
4725.689192000017,4827.822432000009,4776.755812000013
4725.689192000017,4827.822432000009,4776.755812000013
4725.689192000017,4827.822432000009,4776.755812000013
4725.689192000017,4827.822432000009,4776.755812000013
4725.689192000017,4827.822432000009,4776.755812000013
4725.689192000017,4827.822432000009,4776.755812000013
4725.689192000017,4827.822432000009,4776.755812000013
4725.689192000017,4827.822432000009,4776.755812000013
4725.689192000017,4827.822432000009,4776.755812000013
4725.689192000017,4827.822432000009,4776.755812000013
4725.689192000017,4827.822432000009,4776.755812000013
4725.689192000017,4827.822432000009,4776.755812000013
4725.689192000017,4827.822432000009,4776.755812000013
4725.689192000017,4827.822432000009,4776.755812000013
4725.689192000017,4827.777992000009,4776.733592000013
4725.689192000017,4827.777992000009,4776.733592000013
4725.689192000017,4827.777992000009,4776.733592000013
4725.689192000017,4822.33355200001,4774.011372000014
4725.689192000017,4820.57800000001,4773.133596000014
4725.689192000017,4820.57800000001,4773.133596000014
4725.689192000017,4820.57800000001,4773.133596000014
4725.689192000017,4820.57800000001,4773.133596000014
4723.800288000017,4820.57800000001,4772.189144000014
4723.800288000017,4820.57800000001,4772.189144000014
4723.800288000017,4816.133536000009,4769.966912000013
4723.800288000017,4816.133536000009,4769.966912000013
4723.800288000017,4816.133536000009,4769.966912000013
4723.800288000017,4816.133536000009,4769.966912000013
4723.800288000017,4816.133536000009,4769.966912000013
4723.800288000017,4816.133536000009,4769.966912000013
4723.800288000017,4816.133536000009,4769.966912000013
4723.800288000017,4816.133536000009,4769.966912000013
4723.800288000017,4816.133536000009,4769.966912000013
4723.800288000017,4807.22241600001,4765.511352000013
4723.800288000017,4807.22241600001,4765.511352000013
4723.800288000017,4807.22241600001,4765.511352000013
4723.800288000017,4807.22241600001,4765.511352000013
4723.800288000017,4807.22241600001,4765.511352000013
4723.800288000017,4807.22241600001,4765.511352000013
4723.800288000017,4807.22241600001,4765.511352000013
4723.800288000017,4807.22241600001,4765.511352000013
4723.800288000017,4807.22241600001,4765.511352000013
4723.800288000017,4807.22241600001,4765.511352000013
4723.800288000017,4807.22241600001,4765.511352000013
4723.800288000017,4807.22241600001,4765.511352000013
4723.800288000017,4807.22241600001,4765.511352000013
4723.800288000017,4807.22241600001,4765.511352000013
4723.800288000017,4807.22241600001,4765.511352000013
4723.800288000017,4807.22241600001,4765.511352000013
4723.800288000017,4807.22241600001,4765.511352000013
4723.800288000017,4807.22241600001,4765.511352000013
4723.800288000017,4807.22241600001,4765.511352000013
4723.800288000017,4807.22241600001,4765.511352000013
4721.066960000017,4807.22241600001,4764.144688000013
4721.066960000017,4807.22241600001,4764.144688000013
4721.066960000017,4807.22241600001,4764.144688000013
4721.066960000017,4807.22241600001,4764.144688000013
4721.066960000017,4807.22241600001,4764.144688000013
4721.066960000017,4807.22241600001,4764.144688000013
4721.066960000017,4807.22241600001,4764.144688000013
4721.066960000017,4807.22241600001,4764.144688000013
4721.066960000017,4807.22241600001,4764.144688000013
4721.066960000017,4807.22241600001,4764.144688000013
4718.533640000018,4807.22241600001,4762.878028000014
4716.711416000017,4807.22241600001,4761.966916000014
4716.711416000017,4807.22241600001,4761.966916000014
4716.711416000017,4807.22241600001,4761.966916000014
4712.911416000018,4807.22241600001,4760.066916000014
4701.889192000018,4807.22241600001,4754.555804000014
4701.889192000018,4807.22241600001,4754.555804000014
4701.889192000018,4807.22241600001,4754.555804000014
4701.889192000018,4807.22241600001,4754.555804000014
4701.889192000018,4807.22241600001,4754.555804000014
4699.400296000017,4807.22241600001,4753.311356000013
4694.200296000017,4807.22241600001,4750.711356000013
4694.200296000017,4807.22241600001,4750.711356000013
4694.200296000017,4807.22241600001,4750.711356000013
4694.200296000017,4807.22241600001,4750.711356000013
4694.200296000017,4807.22241600001,4750.711356000013
4693.355864000017,4807.22241600001,4750.2891400000135
4693.355864000017,4807.22241600001,4750.2891400000135
4693.355864000017,4807.22241600001,4750.2891400000135
4693.355864000017,4807.22241600001,4750.2891400000135
4693.355864000017,4805.733528000009,4749.544696000014
4693.355864000017,4805.733528000009,4749.544696000014
4693.355864000017,4805.733528000009,4749.544696000014
4693.355864000017,4805.733528000009,4749.544696000014
4693.355864000017,4805.733528000009,4749.544696000014
4693.355864000017,4805.733528000009,4749.544696000014
4693.355864000017,4805.733528000009,4749.544696000014
4687.9336480000175,4805.733528000009,4746.833588000013
4687.9336480000175,4805.600208000009,4746.766928000014
4687.9336480000175,4805.600208000009,4746.766928000014
4687.9336480000175,4805.600208000009,4746.766928000014
4687.9336480000175,4805.600208000009,4746.766928000014
4687.9336480000175,4796.600208000009,4742.266928000014
4687.9336480000175,4796.600208000009,4742.266928000014
4687.9336480000175,4796.600208000009,4742.266928000014
4687.9336480000175,4796.600208000009,4742.266928000014
4683.333648000018,4796.600208000009,4739.9669280000135
4683.333648000018,4796.600208000009,4739.9669280000135
4683.333648000018,4796.600208000009,4739.9669280000135
4683.289208000018,4796.600208000009,4739.944708000014
4673.822536000018,4796.600208000009,4735.211372000013
4673.822536000018,4793.88909600001,4733.855816000014
4672.644768000017,4793.88909600001,4733.266932000013
4672.644768000017,4779.77798400001,4726.211376000014
4672.644768000017,4779.77798400001,4726.211376000014
4672.644768000017,4779.77798400001,4726.211376000014
4672.644768000017,4779.77798400001,4726.211376000014
4672.644768000017,4779.77798400001,4726.211376000014
4672.644768000017,4779.77798400001,4726.211376000014
4672.644768000017,4779.77798400001,4726.211376000014
4660.489224000017,4779.77798400001,4720.133604000013
4660.489224000017,4774.0891120000115,4717.289168000014
4660.489224000017,4766.311336000011,4713.400280000014
4660.489224000017,4766.311336000011,4713.400280000014
4660.489224000017,4766.311336000011,4713.400280000014
4660.489224000017,4766.311336000011,4713.400280000014
4660.489224000017,4766.311336000011,4713.400280000014
4655.600344000017,4758.600224000012,4707.100284000015
4655.600344000017,4758.600224000012,4707.100284000015
4655.600344000017,4758.600224000012,4707.100284000015
4655.600344000017,4758.600224000012,4707.100284000015
4655.600344000017,4758.600224000012,4707.100284000015
4655.600344000017,4758.600224000012,4707.100284000015
4655.600344000017,4758.600224000012,4707.100284000015
4655.600344000017,4758.600224000012,4707.100284000015
4655.600344000017,4758.600224000012,4707.100284000015
4655.600344000017,4758.600224000012,4707.100284000015
4655.600344000017,4758.600224000012,4707.100284000015
4655.600344000017,4758.600224000012,4707.100284000015
4655.600344000017,4758.600224000012,4707.100284000015
4655.600344000017,4758.600224000012,4707.100284000015
4655.600344000017,4758.600224000012,4707.100284000015
4655.600344000017,4758.600224000012,4707.100284000015
4655.600344000017,4758.600224000012,4707.100284000015
4655.600344000017,4758.600224000012,4707.100284000015
4655.600344000017,4758.600224000012,4707.100284000015
4655.600344000017,4758.600224000012,4707.100284000015
4655.600344000017,4758.600224000012,4707.100284000015
4655.600344000017,4758.600224000012,4707.100284000015
4655.600344000017,4758.600224000012,4707.100284000015
4655.600344000017,4758.600224000012,4707.100284000015
4655.600344000017,4758.600224000012,4707.100284000015
4655.600344000017,4758.600224000012,4707.100284000015
4655.600344000017,4758.600224000012,4707.100284000015
4655.600344000017,4758.600224000012,4707.100284000015
4655.600344000017,4758.600224000012,4707.100284000015
4655.600344000017,4758.600224000012,4707.100284000015
4655.600344000017,4758.600224000012,4707.100284000015
4655.600344000017,4758.600224000012,4707.100284000015
4655.600344000017,4758.600224000012,4707.100284000015
4655.600344000017,4758.600224000012,4707.100284000015
4655.600344000017,4758.600224000012,4707.100284000015
4655.600344000017,4758.600224000012,4707.100284000015
4655.600344000017,4758.600224000012,4707.100284000015
4655.600344000017,4758.600224000012,4707.100284000015
4655.600344000017,4758.600224000012,4707.100284000015
4655.600344000017,4758.600224000012,4707.100284000015
4655.600344000017,4758.600224000012,4707.100284000015
4655.600344000017,4758.600224000012,4707.100284000015
4655.600344000017,4758.600224000012,4707.100284000015
4655.600344000017,4758.600224000012,4707.100284000015
4655.600344000017,4758.600224000012,4707.100284000015
4655.600344000017,4758.600224000012,4707.100284000015
4655.600344000017,4758.600224000012,4707.100284000015
4655.600344000017,4758.600224000012,4707.100284000015
4655.600344000017,4758.600224000012,4707.100284000015
4655.600344000017,4758.600224000012,4707.100284000015
4655.600344000017,4758.600224000012,4707.100284000015
4655.600344000017,4758.600224000012,4707.100284000015
4655.600344000017,4758.600224000012,4707.100284000015
4655.600344000017,4758.600224000012,4707.100284000015
4655.600344000017,4758.600224000012,4707.100284000015
4655.600344000017,4758.600224000012,4707.100284000015
4655.600344000017,4758.600224000012,4707.100284000015
4655.600344000017,4758.600224000012,4707.100284000015
4655.600344000017,4758.600224000012,4707.100284000015
4655.600344000017,4758.600224000012,4707.100284000015
4655.600344000017,4758.600224000012,4707.100284000015
4655.600344000017,4758.600224000012,4707.100284000015
4655.600344000017,4758.600224000012,4707.100284000015
4655.600344000017,4758.600224000012,4707.100284000015
4655.600344000017,4758.600224000012,4707.100284000015
4655.600344000017,4758.600224000012,4707.100284000015
4655.600344000017,4758.600224000012,4707.100284000015
4655.600344000017,4758.600224000012,4707.100284000015
4655.600344000017,4758.600224000012,4707.100284000015
4655.600344000017,4758.600224000012,4707.100284000015
4655.600344000017,4758.600224000012,4707.100284000015
4655.600344000017,4758.600224000012,4707.100284000015
4655.600344000017,4758.600224000012,4707.100284000015
4655.600344000017,4758.600224000012,4707.100284000015
4655.600344000017,4758.600224000012,4707.100284000015
4655.600344000017,4758.600224000012,4707.100284000015
4655.600344000017,4758.600224000012,4707.100284000015
4655.600344000017,4758.600224000012,4707.100284000015
4655.600344000017,4758.600224000012,4707.100284000015
4655.600344000017,4758.600224000012,4707.100284000015
4655.600344000017,4758.600224000012,4707.100284000015
4655.600344000017,4758.600224000012,4707.100284000015
4655.600344000017,4758.600224000012,4707.100284000015
4655.600344000017,4758.600224000012,4707.100284000015
4655.600344000017,4758.600224000012,4707.100284000015
4655.600344000017,4758.600224000012,4707.100284000015
4655.600344000017,4758.600224000012,4707.100284000015
4655.600344000017,4758.600224000012,4707.100284000015
4655.600344000017,4758.600224000012,4707.100284000015
4655.600344000017,4758.600224000012,4707.100284000015
4655.600344000017,4758.600224000012,4707.100284000015
4655.600344000017,4758.600224000012,4707.100284000015
4655.600344000017,4758.600224000012,4707.100284000015
4655.600344000017,4758.600224000012,4707.100284000015
4655.600344000017,4758.600224000012,4707.100284000015
4655.600344000017,4758.600224000012,4707.100284000015
4655.600344000017,4758.600224000012,4707.100284000015
4655.600344000017,4758.600224000012,4707.100284000015
4655.600344000017,4758.600224000012,4707.100284000015
4645.666992000016,4758.600224000012,4702.133608000014
4645.666992000016,4758.600224000012,4702.133608000014
4645.666992000016,4758.600224000012,4702.133608000014
4645.666992000016,4758.600224000012,4702.133608000014
4645.666992000016,4758.600224000012,4702.133608000014
4645.666992000016,4758.600224000012,4702.133608000014
4645.666992000016,4758.600224000012,4702.133608000014
4645.666992000016,4758.600224000012,4702.133608000014
4645.666992000016,4758.600224000012,4702.133608000014
4645.666992000016,4758.600224000012,4702.133608000014
4645.666992000016,4758.600224000012,4702.133608000014
4645.666992000016,4758.600224000012,4702.133608000014
4645.666992000016,4758.600224000012,4702.133608000014
4645.666992000016,4758.600224000012,4702.133608000014
4645.666992000016,4758.600224000012,4702.133608000014
4645.666992000016,4758.600224000012,4702.133608000014
4645.666992000016,4758.600224000012,4702.133608000014
4627.155880000017,4758.600224000012,4692.878052000015
4627.155880000017,4758.600224000012,4692.878052000015
4627.155880000017,4758.600224000012,4692.878052000015
4622.822544000015,4758.600224000012,4690.711384000013
4621.000320000014,4758.600224000012,4689.800272000013
4621.000320000014,4758.600224000012,4689.800272000013
4620.089208000014,4758.600224000012,4689.344716000012
4610.333648000013,4758.600224000012,4684.4669360000125
4610.333648000013,4758.600224000012,4684.4669360000125
4609.444760000014,4758.600224000012,4684.022492000013
4609.444760000014,4758.600224000012,4684.022492000013
4609.444760000014,4758.600224000012,4684.022492000013
4609.444760000014,4758.600224000012,4684.022492000013
4609.444760000014,4758.600224000012,4684.022492000013
4609.444760000014,4758.600224000012,4684.022492000013
4609.444760000014,4758.600224000012,4684.022492000013
4609.444760000014,4758.600224000012,4684.022492000013
4607.911424000014,4758.600224000012,4683.255824000013
4607.911424000014,4758.600224000012,4683.255824000013
4607.911424000014,4758.600224000012,4683.255824000013
4599.178088000014,4758.600224000012,4678.889156000013
4599.178088000014,4758.600224000012,4678.889156000013
4599.178088000014,4758.600224000012,4678.889156000013
4599.178088000014,4758.600224000012,4678.889156000013
4599.178088000014,4758.600224000012,4678.889156000013
4582.933648000015,4758.600224000012,4670.766936000013
4582.933648000015,4758.600224000012,4670.766936000013
4582.933648000015,4758.600224000012,4670.766936000013
4582.933648000015,4758.600224000012,4670.766936000013
4582.933648000015,4758.600224000012,4670.766936000013
4582.933648000015,4758.600224000012,4670.766936000013
4582.933648000015,4758.600224000012,4670.766936000013
4582.933648000015,4758.600224000012,4670.766936000013
4582.933648000015,4758.600224000012,4670.766936000013
4582.933648000015,4758.600224000012,4670.766936000013
4582.933648000015,4756.800216000011,4669.866932000013
