../results/wi29_swap-1-01.csv,../results/wi29_swap-1-02.csv,avg
40873.66678400001,41093.82237600001,40983.74458000001
40873.66678400001,41093.82237600001,40983.74458000001
40873.66678400001,41093.82237600001,40983.74458000001
40873.66678400001,41093.82237600001,40983.74458000001
40873.66678400001,41093.82237600001,40983.74458000001
40873.66678400001,41093.82237600001,40983.74458000001
40873.66678400001,41093.82237600001,40983.74458000001
40873.66678400001,41093.82237600001,40983.74458000001
40873.66678400001,41093.82237600001,40983.74458000001
40873.66678400001,41093.82237600001,40983.74458000001
40873.66678400001,41093.82237600001,40983.74458000001
40873.66678400001,41093.82237600001,40983.74458000001
40873.66678400001,41093.82237600001,40983.74458000001
40873.66678400001,41093.82237600001,40983.74458000001
40873.66678400001,41093.82237600001,40983.74458000001
40873.66678400001,41093.82237600001,40983.74458000001
40873.66678400001,41093.82237600001,40983.74458000001
40873.66678400001,41093.82237600001,40983.74458000001
40873.66678400001,41093.82237600001,40983.74458000001
40873.66678400001,41093.82237600001,40983.74458000001
40873.66678400001,41093.82237600001,40983.74458000001
40873.66678400001,41093.82237600001,40983.74458000001
40873.66678400001,41093.82237600001,40983.74458000001
40873.66678400001,41093.82237600001,40983.74458000001
40873.66678400001,41093.82237600001,40983.74458000001
40873.66678400001,41093.82237600001,40983.74458000001
40873.66678400001,41093.82237600001,40983.74458000001
40873.66678400001,41093.82237600001,40983.74458000001
40873.66678400001,41093.82237600001,40983.74458000001
40873.66678400001,41093.82237600001,40983.74458000001
40873.66678400001,41093.82237600001,40983.74458000001
40873.66678400001,41093.82237600001,40983.74458000001
40873.66678400001,41093.82237600001,40983.74458000001
40873.66678400001,41093.82237600001,40983.74458000001
40873.66678400001,41093.82237600001,40983.74458000001
40873.66678400001,41093.82237600001,40983.74458000001
40873.66678400001,41093.82237600001,40983.74458000001
40873.66678400001,41093.82237600001,40983.74458000001
40873.66678400001,41036.44459200001,40955.05568800001
40873.66678400001,41036.44459200001,40955.05568800001
40873.66678400001,41036.44459200001,40955.05568800001
40873.66678400001,41036.44459200001,40955.05568800001
40873.66678400001,41036.44459200001,40955.05568800001
40873.66678400001,41036.44459200001,40955.05568800001
40873.66678400001,41036.44459200001,40955.05568800001
40873.66678400001,41036.44459200001,40955.05568800001
40873.66678400001,41036.44459200001,40955.05568800001
40873.66678400001,41036.44459200001,40955.05568800001
40873.66678400001,41036.44459200001,40955.05568800001
40873.66678400001,41031.24459200001,40952.45568800001
40873.66678400001,41031.24459200001,40952.45568800001
40873.66678400001,41031.24459200001,40952.45568800001
40873.66678400001,41031.24459200001,40952.45568800001
40873.66678400001,41031.24459200001,40952.45568800001
40873.66678400001,41031.24459200001,40952.45568800001
40873.66678400001,41031.24459200001,40952.45568800001
40873.66678400001,41019.84459200001,40946.755688000005
40873.66678400001,41019.84459200001,40946.755688000005
40873.66678400001,41019.84459200001,40946.755688000005
40873.66678400001,41019.84459200001,40946.755688000005
40873.66678400001,41019.84459200001,40946.755688000005
40873.66678400001,41019.84459200001,40946.755688000005
40873.66678400001,41019.84459200001,40946.755688000005
40873.66678400001,41019.84459200001,40946.755688000005
40873.66678400001,41019.84459200001,40946.755688000005
40862.84455200001,41019.84459200001,40941.34457200001
40862.84455200001,41019.84459200001,40941.34457200001
40627.511224,41019.84459200001,40823.677908000005
40593.622336,41019.84459200001,40806.733464000004
40593.622336,41019.84459200001,40806.733464000004
40593.622336,41019.84459200001,40806.733464000004
40593.622336,41019.84459200001,40806.733464000004
40593.622336,41019.84459200001,40806.733464000004
40593.622336,41019.84459200001,40806.733464000004
40593.622336,41019.84459200001,40806.733464000004
40593.622336,41019.84459200001,40806.733464000004
40593.622336,41019.84459200001,40806.733464000004
40593.622336,41019.84459200001,40806.733464000004
40593.622336,41019.84459200001,40806.733464000004
