../results/wi29_exp_rank_swap-01.csv,../results/wi29_exp_rank_swap-02.csv,avg
41797.11124800001,40879.28900800001,41338.20012800001
41797.11124800001,40879.28900800001,41338.20012800001
41797.11124800001,40879.28900800001,41338.20012800001
41797.11124800001,40879.28900800001,41338.20012800001
41797.11124800001,40879.28900800001,41338.20012800001
41797.11124800001,40879.28900800001,41338.20012800001
41797.11124800001,40879.28900800001,41338.20012800001
41797.11124800001,40879.28900800001,41338.20012800001
41797.11124800001,40879.28900800001,41338.20012800001
41797.11124800001,40879.28900800001,41338.20012800001
41797.11124800001,40879.28900800001,41338.20012800001
41797.11124800001,40879.28900800001,41338.20012800001
41797.11124800001,40879.28900800001,41338.20012800001
41797.11124800001,40879.28900800001,41338.20012800001
41797.11124800001,40879.28900800001,41338.20012800001
41797.11124800001,40879.28900800001,41338.20012800001
41797.11124800001,40879.28900800001,41338.20012800001
41797.11124800001,40879.28900800001,41338.20012800001
41797.11124800001,40879.28900800001,41338.20012800001
41797.11124800001,40879.28900800001,41338.20012800001
41733.57792,40879.28900800001,41306.433464
41733.57792,40879.28900800001,41306.433464
41733.57792,40879.28900800001,41306.433464
41733.57792,40879.28900800001,41306.433464
41733.57792,40879.28900800001,41306.433464
41733.57792,40879.28900800001,41306.433464
41733.57792,40879.28900800001,41306.433464
41733.57792,40879.28900800001,41306.433464
41733.57792,40879.28900800001,41306.433464
41733.57792,40879.28900800001,41306.433464
41733.57792,40879.28900800001,41306.433464
41733.57792,40879.28900800001,41306.433464
41733.57792,40879.28900800001,41306.433464
41733.57792,40879.28900800001,41306.433464
41733.57792,40879.28900800001,41306.433464
41733.57792,40879.28900800001,41306.433464
41733.57792,40879.28900800001,41306.433464
41733.57792,40879.28900800001,41306.433464
41733.57792,40879.28900800001,41306.433464
41733.57792,40879.28900800001,41306.433464
41733.57792,40879.28900800001,41306.433464
41733.57792,40879.28900800001,41306.433464
41733.57792,40879.28900800001,41306.433464
41733.57792,40879.28900800001,41306.433464
41733.57792,40879.28900800001,41306.433464
41733.57792,40879.28900800001,41306.433464
41733.57792,40879.28900800001,41306.433464
41733.57792,40879.28900800001,41306.433464
41733.57792,40879.28900800001,41306.433464
41733.57792,40879.28900800001,41306.433464
41733.57792,40879.28900800001,41306.433464
41605.622352000006,40879.28900800001,41242.45568000001
41605.622352000006,40879.28900800001,41242.45568000001
41605.622352000006,40879.28900800001,41242.45568000001
41605.622352000006,40879.28900800001,41242.45568000001
41605.622352000006,40879.28900800001,41242.45568000001
41605.622352000006,40879.28900800001,41242.45568000001
41605.622352000006,40879.28900800001,41242.45568000001
41605.622352000006,40879.28900800001,41242.45568000001
41605.622352000006,40879.28900800001,41242.45568000001
41530.17790400001,40879.28900800001,41204.73345600001
41530.17790400001,40879.28900800001,41204.73345600001
41530.17790400001,40879.28900800001,41204.73345600001
41530.17790400001,40879.28900800001,41204.73345600001
41530.17790400001,40879.28900800001,41204.73345600001
41530.17790400001,40879.28900800001,41204.73345600001
41530.17790400001,40879.28900800001,41204.73345600001
41530.17790400001,40879.28900800001,41204.73345600001
41530.17790400001,40879.28900800001,41204.73345600001
41514.333456,40879.28900800001,41196.81123200001
41514.333456,40879.28900800001,41196.81123200001
41514.333456,40879.28900800001,41196.81123200001
41514.333456,40879.28900800001,41196.81123200001
41514.333456,40879.28900800001,41196.81123200001
