../results/wi29_mutator-002-01.csv,../results/wi29_mutator-002-02.csv,avg
40304.755712000006,41749.844608,41027.30016
40304.755712000006,41749.844608,41027.30016
40304.755712000006,41749.844608,41027.30016
40304.755712000006,41749.844608,41027.30016
40304.755712000006,41749.844608,41027.30016
40304.755712000006,41749.844608,41027.30016
40304.755712000006,41749.844608,41027.30016
40304.755712000006,41749.844608,41027.30016
40304.755712000006,41749.844608,41027.30016
40130.64459200001,41749.844608,40940.244600000005
40130.64459200001,41725.755728000004,40928.20016000001
40130.64459200001,41715.555728,40923.10016
40107.04460000001,41715.555728,40911.300164
40107.04460000001,41715.555728,40911.300164
40107.04460000001,41715.555728,40911.300164
40107.04460000001,41715.555728,40911.300164
40107.04460000001,41715.555728,40911.300164
40107.04460000001,41715.555728,40911.300164
40107.04460000001,41715.555728,40911.300164
40107.04460000001,41715.555728,40911.300164
40107.04460000001,41715.555728,40911.300164
40107.04460000001,41715.555728,40911.300164
40107.04460000001,41715.555728,40911.300164
40107.04460000001,41715.555728,40911.300164
40107.04460000001,41715.555728,40911.300164
40107.04460000001,41715.555728,40911.300164
40107.04460000001,41715.555728,40911.300164
40107.04460000001,41715.555728,40911.300164
40107.04460000001,41715.555728,40911.300164
39795.044592000006,41715.555728,40755.30016
39795.044592000006,41715.555728,40755.30016
39795.044592000006,41715.555728,40755.30016
39795.044592000006,41715.555728,40755.30016
39795.044592000006,41715.555728,40755.30016
39795.044592000006,41715.555728,40755.30016
39795.044592000006,41709.8446,40752.444596
39795.044592000006,41709.8446,40752.444596
39795.044592000006,41709.8446,40752.444596
39795.044592000006,41709.8446,40752.444596
39795.044592000006,41709.8446,40752.444596
39795.044592000006,41652.133488,40723.589040000006
39795.044592000006,41652.133488,40723.589040000006
39795.044592000006,41652.133488,40723.589040000006
39795.044592000006,41652.133488,40723.589040000006
39795.044592000006,41652.133488,40723.589040000006
39795.044592000006,41652.133488,40723.589040000006
39795.044592000006,41652.133488,40723.589040000006
39795.044592000006,41652.133488,40723.589040000006
39795.044592000006,41652.133488,40723.589040000006
39795.044592000006,41652.133488,40723.589040000006
39795.044592000006,41652.133488,40723.589040000006
39795.044592000006,41652.133488,40723.589040000006
39795.044592000006,41652.133488,40723.589040000006
39795.044592000006,41652.133488,40723.589040000006
39795.044592000006,41652.133488,40723.589040000006
39795.044592000006,41652.133488,40723.589040000006
39795.044592000006,41652.133488,40723.589040000006
39677.422360000004,41652.133488,40664.777924
39677.422360000004,41652.133488,40664.777924
39677.422360000004,41652.133488,40664.777924
39677.422360000004,41652.133488,40664.777924
39677.422360000004,41652.133488,40664.777924
39677.422360000004,41646.800160000006,40662.111260000005
39677.422360000004,41646.800160000006,40662.111260000005
39677.422360000004,41646.800160000006,40662.111260000005
39677.422360000004,41646.800160000006,40662.111260000005
39677.422360000004,41646.800160000006,40662.111260000005
39677.422360000004,41646.800160000006,40662.111260000005
39677.422360000004,41646.800160000006,40662.111260000005
