../results/dj38_exp_rank_mutator000-01.csv,../results/dj38_exp_rank_mutator000-02.csv,avg
8543.266808000004,8450.333544000001,8496.800176000002
8543.266808000004,8450.333544000001,8496.800176000002
8543.266808000004,8435.200216000001,8489.233512000003
8543.266808000004,8435.200216000001,8489.233512000003
8543.266808000004,8435.200216000001,8489.233512000003
8543.266808000004,8435.200216000001,8489.233512000003
8533.422360000002,8435.200216000001,8484.311288
8533.422360000002,8435.200216000001,8484.311288
8533.422360000002,8435.200216000001,8484.311288
8533.422360000002,8435.200216000001,8484.311288
8529.622368000004,8435.200216000001,8482.411292000003
8529.622368000004,8435.200216000001,8482.411292000003
8505.955704000004,8435.200216000001,8470.577960000002
8505.955704000004,8404.555736000002,8455.255720000003
8505.955704000004,8404.555736000002,8455.255720000003
8493.644592000004,8380.57796,8437.111276000003
8493.644592000004,8380.57796,8437.111276000003
8493.644592000004,8380.57796,8437.111276000003
8483.111256000004,8378.822384000001,8430.966820000001
8483.111256000004,8378.822384000001,8430.966820000001
8482.689040000003,8350.511256000002,8416.600148000001
8482.689040000003,8337.889040000002,8410.289040000003
8482.689040000003,8337.889040000002,8410.289040000003
8482.689040000003,8337.889040000002,8410.289040000003
8482.689040000003,8337.889040000002,8410.289040000003
8470.444592000003,8337.889040000002,8404.166816000003
8468.711256000004,8337.889040000002,8403.300148000002
8468.711256000004,8337.889040000002,8403.300148000002
8468.711256000004,8337.889040000002,8403.300148000002
8468.711256000004,8337.889040000002,8403.300148000002
8468.711256000004,8337.889040000002,8403.300148000002
8468.711256000004,8337.889040000002,8403.300148000002
8390.000144000005,8337.889040000002,8363.944592000003
8390.000144000005,8337.889040000002,8363.944592000003
8390.000144000005,8337.889040000002,8363.944592000003
8390.000144000005,8337.889040000002,8363.944592000003
8388.889032000003,8312.622400000002,8350.755716000003
8388.889032000003,8309.711288,8349.300160000003
8388.889032000003,8309.711288,8349.300160000003
8388.889032000003,8309.711288,8349.300160000003
