../results/qa194_swap-1-01.csv,../results/qa194_swap-1-02.csv,avg
4546.777960000009,4594.311320000012,4570.544640000011
4546.777960000009,4594.311320000012,4570.544640000011
4546.777960000009,4594.311320000012,4570.544640000011
4546.777960000009,4594.311320000012,4570.544640000011
4546.777960000009,4594.311320000012,4570.544640000011
4546.777960000009,4594.311320000012,4570.544640000011
4546.777960000009,4594.311320000012,4570.544640000011
4545.777944000009,4594.311320000012,4570.04463200001
4545.777944000009,4594.311320000012,4570.04463200001
4545.777944000009,4594.311320000012,4570.04463200001
4545.777944000009,4594.311320000012,4570.04463200001
4545.777944000009,4594.311320000012,4570.04463200001
4545.777944000009,4594.311320000012,4570.04463200001
4545.777944000009,4594.311320000012,4570.04463200001
4545.777944000009,4594.311320000012,4570.04463200001
4545.777944000009,4594.311320000012,4570.04463200001
4545.777944000009,4594.311320000012,4570.04463200001
4545.777944000009,4594.311320000012,4570.04463200001
4537.133512000009,4594.311320000012,4565.7224160000105
4537.133512000009,4594.311320000012,4565.7224160000105
4533.88907200001,4594.311320000012,4564.10019600001
4533.88907200001,4594.311320000012,4564.10019600001
4533.88907200001,4594.311320000012,4564.10019600001
4533.88907200001,4594.311320000012,4564.10019600001
4533.88907200001,4594.311320000012,4564.10019600001
4533.88907200001,4594.311320000012,4564.10019600001
4533.88907200001,4594.311320000012,4564.10019600001
4533.88907200001,4594.311320000012,4564.10019600001
4533.88907200001,4594.311320000012,4564.10019600001
4533.88907200001,4594.311320000012,4564.10019600001
4533.88907200001,4594.311320000012,4564.10019600001
4533.88907200001,4594.311320000012,4564.10019600001
4533.88907200001,4594.311320000012,4564.10019600001
4533.88907200001,4594.311320000012,4564.10019600001
4533.88907200001,4594.311320000012,4564.10019600001
4533.88907200001,4594.311320000012,4564.10019600001
4533.88907200001,4594.311320000012,4564.10019600001
4533.88907200001,4594.311320000012,4564.10019600001
4533.88907200001,4594.311320000012,4564.10019600001
4533.88907200001,4594.311320000012,4564.10019600001
4533.88907200001,4585.822440000012,4559.855756000011
4533.88907200001,4585.822440000012,4559.855756000011
4533.88907200001,4585.822440000012,4559.855756000011
4533.88907200001,4585.822440000012,4559.855756000011
4533.88907200001,4585.822440000012,4559.855756000011
4533.88907200001,4585.822440000012,4559.855756000011
4533.88907200001,4585.7335600000115,4559.81131600001
4533.88907200001,4585.7335600000115,4559.81131600001
4533.88907200001,4585.7335600000115,4559.81131600001
4533.88907200001,4585.7335600000115,4559.81131600001
4533.88907200001,4585.7335600000115,4559.81131600001
4533.88907200001,4568.644688000012,4551.266880000011
4533.88907200001,4568.644688000012,4551.266880000011
4533.88907200001,4568.644688000012,4551.266880000011
4533.88907200001,4568.644688000012,4551.266880000011
4533.88907200001,4568.644688000012,4551.266880000011
4533.88907200001,4568.644688000012,4551.266880000011
4533.88907200001,4568.644688000012,4551.266880000011
4533.88907200001,4568.644688000012,4551.266880000011
4533.88907200001,4568.644688000012,4551.266880000011
4533.88907200001,4568.644688000012,4551.266880000011
4531.68907200001,4568.644688000012,4550.166880000012
4531.68907200001,4568.644688000012,4550.166880000012
4527.0668400000095,4568.644688000012,4547.855764000011
4527.0668400000095,4568.644688000012,4547.855764000011
4520.22239200001,4568.644688000012,4544.433540000011
4520.22239200001,4568.644688000012,4544.433540000011
4520.22239200001,4568.644688000012,4544.433540000011
4520.22239200001,4568.644688000012,4544.433540000011
4520.22239200001,4568.644688000012,4544.433540000011
4520.22239200001,4554.178024000012,4537.200208000011
4520.22239200001,4554.178024000012,4537.200208000011
4520.22239200001,4554.178024000012,4537.200208000011
4520.22239200001,4554.178024000012,4537.200208000011
