../results/qa194_mutator-002-01.csv,../results/qa194_mutator-002-02.csv,avg
4587.266872000011,4500.444600000012,4543.855736000011
4587.266872000011,4493.866824000012,4540.566848000011
4587.266872000011,4493.866824000012,4540.566848000011
4587.266872000011,4493.866824000012,4540.566848000011
4587.266872000011,4493.866824000012,4540.566848000011
4587.266872000011,4476.26681600001,4531.766844000011
4587.266872000011,4476.26681600001,4531.766844000011
4583.77799200001,4476.26681600001,4530.02240400001
4580.48909600001,4476.26681600001,4528.37795600001
4580.48909600001,4476.26681600001,4528.37795600001
4580.48909600001,4476.26681600001,4528.37795600001
4580.48909600001,4476.26681600001,4528.37795600001
4580.48909600001,4476.26681600001,4528.37795600001
4580.48909600001,4476.26681600001,4528.37795600001
4580.48909600001,4476.26681600001,4528.37795600001
4580.48909600001,4476.26681600001,4528.37795600001
4577.5779760000105,4476.26681600001,4526.922396000011
4577.5779760000105,4476.26681600001,4526.922396000011
4577.5779760000105,4476.26681600001,4526.922396000011
4577.5779760000105,4476.26681600001,4526.922396000011
4575.822440000011,4476.26681600001,4526.044628000011
4575.822440000011,4476.26681600001,4526.044628000011
4575.822440000011,4476.26681600001,4526.044628000011
4575.822440000011,4476.26681600001,4526.044628000011
4562.33354400001,4476.26681600001,4519.30018000001
4554.6446400000095,4476.26681600001,4515.45572800001
4554.6446400000095,4476.26681600001,4515.45572800001
4554.6446400000095,4476.26681600001,4515.45572800001
4547.111312000008,4476.26681600001,4511.689064000009
