../results/qa194_exp_rank_mutator001-01.csv,../results/qa194_exp_rank_mutator001-02.csv,avg
4497.622504000013,4539.5336000000125,4518.578052000013
4497.622504000013,4539.5336000000125,4518.578052000013
4497.622504000013,4539.5336000000125,4518.578052000013
4497.622504000013,4537.044720000013,4517.333612000013
4497.622504000013,4537.044720000013,4517.333612000013
4497.622504000013,4537.044720000013,4517.333612000013
4497.622504000013,4537.044720000013,4517.333612000013
4488.733624000014,4537.044720000013,4512.889172000014
4488.733624000014,4537.044720000013,4512.889172000014
4488.733624000014,4537.044720000013,4512.889172000014
4488.733624000014,4537.044720000013,4512.889172000014
4488.733624000014,4537.044720000013,4512.889172000014
4488.733624000014,4537.044720000013,4512.889172000014
4488.733624000014,4537.044720000013,4512.889172000014
4488.733624000014,4537.044720000013,4512.889172000014
4488.733624000014,4537.044720000013,4512.889172000014
4488.733624000014,4529.2446960000125,4508.989160000014
4488.733624000014,4529.2446960000125,4508.989160000014
4488.733624000014,4529.2446960000125,4508.989160000014
4488.733624000014,4529.2446960000125,4508.989160000014
4488.733624000014,4529.2446960000125,4508.989160000014
4485.778064000015,4515.311352000012,4500.544708000014
4485.778064000015,4515.311352000012,4500.544708000014
4485.133600000014,4515.311352000012,4500.222476000014
4485.133600000014,4515.311352000012,4500.222476000014
4482.133600000014,4515.311352000012,4498.722476000014
4482.133600000014,4515.311352000012,4498.722476000014
4482.133600000014,4515.311352000012,4498.722476000014
4482.133600000014,4515.311352000012,4498.722476000014
4482.133600000014,4515.311352000012,4498.722476000014
4475.378032000015,4515.311352000012,4495.344692000013
4475.378032000015,4515.311352000012,4495.344692000013
4475.378032000015,4515.311352000012,4495.344692000013
4469.800232000014,4515.311352000012,4492.555792000014
4469.800232000014,4515.311352000012,4492.555792000014
4469.800232000014,4513.933560000012,4491.866896000013
4469.800232000014,4513.933560000012,4491.866896000013
4469.000240000015,4513.933560000012,4491.466900000014
4469.000240000015,4513.933560000012,4491.466900000014
4469.000240000015,4513.933560000012,4491.466900000014
4469.000240000015,4513.933560000012,4491.466900000014
4469.000240000015,4513.933560000012,4491.466900000014
4469.000240000015,4513.933560000012,4491.466900000014
4466.489128000015,4500.266888000011,4483.378008000012
4466.489128000015,4500.266888000011,4483.378008000012
4461.089120000015,4500.266888000011,4480.678004000013
4461.089120000015,4500.266888000011,4480.678004000013
4461.089120000015,4500.266888000011,4480.678004000013
4461.089120000015,4500.266888000011,4480.678004000013
4461.089120000015,4500.266888000011,4480.678004000013
4461.089120000015,4500.266888000011,4480.678004000013
4461.089120000015,4500.266888000011,4480.678004000013
4461.089120000015,4500.266888000011,4480.678004000013
4461.089120000015,4500.266888000011,4480.678004000013
4461.089120000015,4500.266888000011,4480.678004000013
4461.089120000015,4500.266888000011,4480.678004000013
4461.089120000015,4500.266888000011,4480.678004000013
4461.089120000015,4500.266888000011,4480.678004000013
4461.089120000015,4500.266888000011,4480.678004000013
4461.089120000015,4500.266888000011,4480.678004000013
4461.089120000015,4500.266888000011,4480.678004000013
4461.089120000015,4500.266888000011,4480.678004000013
4461.089120000015,4500.266888000011,4480.678004000013
4461.089120000015,4500.266888000011,4480.678004000013
4461.089120000015,4500.266888000011,4480.678004000013
4461.089120000015,4500.266888000011,4480.678004000013
4461.089120000015,4500.266888000011,4480.678004000013
4461.089120000015,4500.266888000011,4480.678004000013
4461.089120000015,4500.266888000011,4480.678004000013
4461.089120000015,4500.266888000011,4480.678004000013
4461.089120000015,4500.266888000011,4480.678004000013
4461.089120000015,4500.266888000011,4480.678004000013
4461.089120000015,4500.266888000011,4480.678004000013
4461.089120000015,4500.266888000011,4480.678004000013
4461.089120000015,4491.733536000011,4476.411328000013
4461.089120000015,4491.733536000011,4476.411328000013
4461.089120000015,4491.733536000011,4476.411328000013
4461.089120000015,4491.733536000011,4476.411328000013
4452.289144000015,4491.733536000011,4472.011340000013
4452.289144000015,4473.17797600001,4462.733560000012
4452.289144000015,4473.17797600001,4462.733560000012
4452.289144000015,4473.17797600001,4462.733560000012
4452.289144000015,4473.17797600001,4462.733560000012
4452.289144000015,4473.17797600001,4462.733560000012
4452.289144000015,4473.17797600001,4462.733560000012
4452.289144000015,4473.17797600001,4462.733560000012
4452.289144000015,4454.80020000001,4453.544672000013
4452.289144000015,4453.11132000001,4452.700232000012
4447.578032000016,4453.11132000001,4450.344676000013
4447.578032000016,4453.11132000001,4450.344676000013
4447.578032000016,4453.11132000001,4450.344676000013
4447.578032000016,4453.11132000001,4450.344676000013
4447.578032000016,4453.11132000001,4450.344676000013
4447.578032000016,4453.11132000001,4450.344676000013
4446.044712000015,4453.11132000001,4449.578016000012
4446.044712000015,4453.11132000001,4449.578016000012
4419.244712000016,4453.11132000001,4436.178016000013
4419.244712000016,4453.11132000001,4436.178016000013
4419.244712000016,4453.11132000001,4436.178016000013
4403.244704000015,4453.11132000001,4428.178012000013
4403.244704000015,4453.11132000001,4428.178012000013
4403.244704000015,4453.11132000001,4428.178012000013
4403.244704000015,4453.11132000001,4428.178012000013
4403.244704000015,4453.11132000001,4428.178012000013
4385.733592000016,4453.11132000001,4419.422456000013
4385.733592000016,4453.11132000001,4419.422456000013
4385.733592000016,4453.11132000001,4419.422456000013
4385.733592000016,4453.11132000001,4419.422456000013
4385.733592000016,4453.11132000001,4419.422456000013
4385.733592000016,4453.11132000001,4419.422456000013
4385.733592000016,4453.11132000001,4419.422456000013
4385.733592000016,4453.11132000001,4419.422456000013
4385.733592000016,4453.11132000001,4419.422456000013
4385.733592000016,4453.11132000001,4419.422456000013
4385.733592000016,4453.11132000001,4419.422456000013
4385.733592000016,4453.11132000001,4419.422456000013
4385.733592000016,4453.11132000001,4419.422456000013
4385.733592000016,4453.11132000001,4419.422456000013
4385.733592000016,4453.11132000001,4419.422456000013
4385.733592000016,4453.11132000001,4419.422456000013
4385.733592000016,4453.11132000001,4419.422456000013
4385.733592000016,4453.11132000001,4419.422456000013
4385.733592000016,4453.11132000001,4419.422456000013
4385.733592000016,4453.11132000001,4419.422456000013
4385.733592000016,4453.11132000001,4419.422456000013
4385.733592000016,4453.11132000001,4419.422456000013
4385.733592000016,4453.11132000001,4419.422456000013
4385.733592000016,4453.11132000001,4419.422456000013
4385.733592000016,4453.11132000001,4419.422456000013
4385.733592000016,4453.11132000001,4419.422456000013
4385.733592000016,4453.11132000001,4419.422456000013
4385.733592000016,4453.11132000001,4419.422456000013
4385.733592000016,4453.11132000001,4419.422456000013
4385.733592000016,4453.11132000001,4419.422456000013
4385.733592000016,4453.11132000001,4419.422456000013
4385.733592000016,4453.11132000001,4419.422456000013
4385.733592000016,4453.11132000001,4419.422456000013
4385.733592000016,4453.11132000001,4419.422456000013
4385.733592000016,4453.11132000001,4419.422456000013
4385.733592000016,4453.11132000001,4419.422456000013
4385.733592000016,4453.11132000001,4419.422456000013
4385.733592000016,4453.11132000001,4419.422456000013
4385.733592000016,4453.11132000001,4419.422456000013
4385.733592000016,4453.11132000001,4419.422456000013
4385.733592000016,4453.11132000001,4419.422456000013
4385.733592000016,4453.11132000001,4419.422456000013
4385.733592000016,4453.11132000001,4419.422456000013
4385.733592000016,4453.11132000001,4419.422456000013
4385.733592000016,4453.11132000001,4419.422456000013
4385.733592000016,4453.11132000001,4419.422456000013
4385.733592000016,4453.11132000001,4419.422456000013
4385.733592000016,4453.11132000001,4419.422456000013
4385.733592000016,4453.11132000001,4419.422456000013
4385.733592000016,4453.11132000001,4419.422456000013
4385.733592000016,4453.11132000001,4419.422456000013
4385.733592000016,4453.11132000001,4419.422456000013
4385.733592000016,4453.11132000001,4419.422456000013
4385.733592000016,4453.11132000001,4419.422456000013
4385.733592000016,4453.11132000001,4419.422456000013
4385.733592000016,4453.11132000001,4419.422456000013
4385.733592000016,4453.11132000001,4419.422456000013
4385.733592000016,4437.422424000011,4411.578008000013
4385.733592000016,4437.422424000011,4411.578008000013
4385.733592000016,4437.422424000011,4411.578008000013
4385.733592000016,4437.422424000011,4411.578008000013
4385.733592000016,4437.422424000011,4411.578008000013
4385.733592000016,4437.422424000011,4411.578008000013
4385.733592000016,4437.422424000011,4411.578008000013
4384.178040000015,4437.422424000011,4410.800232000013
4384.178040000015,4437.422424000011,4410.800232000013
4384.178040000015,4437.422424000011,4410.800232000013
4384.178040000015,4437.422424000011,4410.800232000013
4384.178040000015,4437.422424000011,4410.800232000013
4384.178040000015,4431.600216000012,4407.889128000013
4384.178040000015,4431.600216000012,4407.889128000013
4384.178040000015,4431.600216000012,4407.889128000013
4384.178040000015,4429.755768000012,4406.9669040000135
4384.178040000015,4428.200208000011,4406.189124000013
4384.178040000015,4428.200208000011,4406.189124000013
4384.178040000015,4428.200208000011,4406.189124000013
4384.178040000015,4428.200208000011,4406.189124000013
4384.178040000015,4428.200208000011,4406.189124000013
4384.178040000015,4428.200208000011,4406.189124000013
4384.178040000015,4428.200208000011,4406.189124000013
4384.178040000015,4428.200208000011,4406.189124000013
4384.178040000015,4428.200208000011,4406.189124000013
4384.178040000015,4428.200208000011,4406.189124000013
4384.178040000015,4428.200208000011,4406.189124000013
4384.178040000015,4428.200208000011,4406.189124000013
4384.178040000015,4428.200208000011,4406.189124000013
4384.178040000015,4428.200208000011,4406.189124000013
4384.178040000015,4428.200208000011,4406.189124000013
4384.178040000015,4421.400216000012,4402.789128000013
4384.178040000015,4421.400216000012,4402.789128000013
4384.178040000015,4421.400216000012,4402.789128000013
4384.178040000015,4421.400216000012,4402.789128000013
4384.178040000015,4421.400216000012,4402.789128000013
4384.178040000015,4421.400216000012,4402.789128000013
4384.178040000015,4418.022432000012,4401.100236000013
4384.178040000015,4418.022432000012,4401.100236000013
4384.178040000015,4418.022432000012,4401.100236000013
4384.178040000015,4403.133528000011,4393.655784000013
4384.178040000015,4403.133528000011,4393.655784000013
4384.178040000015,4403.133528000011,4393.655784000013
4384.178040000015,4391.800192000011,4387.989116000013
4384.178040000015,4371.155744000011,4377.666892000013
4384.178040000015,4371.155744000011,4377.666892000013
4384.178040000015,4371.155744000011,4377.666892000013
4384.178040000015,4371.155744000011,4377.666892000013
4384.178040000015,4371.155744000011,4377.666892000013
4384.178040000015,4371.155744000011,4377.666892000013
4384.178040000015,4371.155744000011,4377.666892000013
4384.178040000015,4371.155744000011,4377.666892000013
4384.178040000015,4371.155744000011,4377.666892000013
4384.178040000015,4371.155744000011,4377.666892000013
4384.178040000015,4371.155744000011,4377.666892000013
4384.178040000015,4371.155744000011,4377.666892000013
4384.178040000015,4371.155744000011,4377.666892000013
4384.178040000015,4371.155744000011,4377.666892000013
4384.178040000015,4371.155744000011,4377.666892000013
4384.178040000015,4371.155744000011,4377.666892000013
4384.178040000015,4371.155744000011,4377.666892000013
4384.178040000015,4371.155744000011,4377.666892000013
4384.178040000015,4371.155744000011,4377.666892000013
4384.178040000015,4371.155744000011,4377.666892000013
4384.178040000015,4371.155744000011,4377.666892000013
4384.178040000015,4360.711288000011,4372.444664000013
4384.000256000015,4360.711288000011,4372.3557720000135
4384.000256000015,4360.711288000011,4372.3557720000135
4384.000256000015,4360.711288000011,4372.3557720000135
4384.000256000015,4360.711288000011,4372.3557720000135
4384.000256000015,4360.711288000011,4372.3557720000135
4384.000256000015,4360.711288000011,4372.3557720000135
4384.000256000015,4360.711288000011,4372.3557720000135
4384.000256000015,4360.711288000011,4372.3557720000135
4384.000256000015,4360.711288000011,4372.3557720000135
4384.000256000015,4360.711288000011,4372.3557720000135
4384.000256000015,4360.711288000011,4372.3557720000135
4384.000256000015,4360.711288000011,4372.3557720000135
4384.000256000015,4360.711288000011,4372.3557720000135
4384.000256000015,4360.711288000011,4372.3557720000135
4384.000256000015,4360.711288000011,4372.3557720000135
4384.000256000015,4360.711288000011,4372.3557720000135
4384.000256000015,4360.711288000011,4372.3557720000135
4384.000256000015,4360.711288000011,4372.3557720000135
4384.000256000015,4360.711288000011,4372.3557720000135
4384.000256000015,4360.711288000011,4372.3557720000135
4379.622472000015,4360.711288000011,4370.166880000013
4379.622472000015,4360.711288000011,4370.166880000013
4379.622472000015,4360.711288000011,4370.166880000013
4379.622472000015,4360.711288000011,4370.166880000013
4379.622472000015,4360.711288000011,4370.166880000013
4379.622472000015,4360.711288000011,4370.166880000013
4379.622472000015,4360.711288000011,4370.166880000013
4379.622472000015,4360.711288000011,4370.166880000013
4379.622472000015,4360.711288000011,4370.166880000013
