../results/wi29shuffle0-01.csv,../results/wi29shuffle0-02.csv,avg
40322.97797600001,39905.755712,40114.366844000004
40322.97797600001,39905.755712,40114.366844000004
40322.97797600001,39833.444608000005,40078.21129200001
40270.26685600001,39833.444608000005,40051.85573200001
40270.26685600001,39833.444608000005,40051.85573200001
40270.26685600001,39833.444608000005,40051.85573200001
40270.26685600001,39833.444608000005,40051.85573200001
40270.26685600001,39833.444608000005,40051.85573200001
40270.26685600001,39833.444608000005,40051.85573200001
40270.26685600001,39833.444608000005,40051.85573200001
40270.26685600001,39833.444608000005,40051.85573200001
40270.26685600001,39833.444608000005,40051.85573200001
40270.26685600001,39833.444608000005,40051.85573200001
40270.26685600001,39833.444608000005,40051.85573200001
40270.26685600001,39833.444608000005,40051.85573200001
40270.26685600001,39833.444608000005,40051.85573200001
40270.26685600001,39833.444608000005,40051.85573200001
40270.26685600001,39833.444608000005,40051.85573200001
40270.26685600001,39833.444608000005,40051.85573200001
40270.26685600001,39833.444608000005,40051.85573200001
40227.73352000001,39833.444608000005,40030.58906400001
40227.73352000001,39833.444608000005,40030.58906400001
40227.73352000001,39833.444608000005,40030.58906400001
40227.73352000001,39833.444608000005,40030.58906400001
40227.73352000001,39833.444608000005,40030.58906400001
40227.73352000001,39833.444608000005,40030.58906400001
40227.73352000001,39833.444608000005,40030.58906400001
40227.73352000001,39833.444608000005,40030.58906400001
40227.73352000001,39833.444608000005,40030.58906400001
40227.73352000001,39833.444608000005,40030.58906400001
40227.73352000001,39833.444608000005,40030.58906400001
40227.73352000001,39810.066832000004,40018.90017600001
40227.73352000001,39810.066832000004,40018.90017600001
40227.73352000001,39810.066832000004,40018.90017600001
40227.73352000001,39810.066832000004,40018.90017600001
40227.73352000001,39810.066832000004,40018.90017600001
40227.73352000001,39810.066832000004,40018.90017600001
40227.73352000001,39810.066832000004,40018.90017600001
40227.73352000001,39810.066832000004,40018.90017600001
40227.73352000001,39810.066832000004,40018.90017600001
40227.73352000001,39810.066832000004,40018.90017600001
40227.73352000001,39810.066832000004,40018.90017600001
40227.73352000001,39810.066832000004,40018.90017600001
40227.73352000001,39810.066832000004,40018.90017600001
40227.73352000001,39810.066832000004,40018.90017600001
40227.73352000001,39678.555696,39953.144608
40227.73352000001,39678.555696,39953.144608
40227.73352000001,39678.555696,39953.144608
40227.73352000001,39678.555696,39953.144608
40227.73352000001,39678.555696,39953.144608
40227.73352000001,39678.555696,39953.144608
40227.73352000001,39678.555696,39953.144608
40124.22240800001,39678.555696,39901.389052000006
40124.22240800001,39678.555696,39901.389052000006
40124.22240800001,39678.555696,39901.389052000006
40020.666856,39678.555696,39849.611276
40020.666856,39678.555696,39849.611276
40020.666856,39678.555696,39849.611276
40020.666856,39678.555696,39849.611276
40020.666856,39634.089024,39827.377940000006
40020.666856,39634.089024,39827.377940000006
40020.666856,39633.800136000005,39827.233496
40020.666856,39633.800136000005,39827.233496
40020.666856,39633.800136000005,39827.233496
40007.733528000004,39633.800136000005,39820.76683200001
40007.733528000004,39633.800136000005,39820.76683200001
40007.733528000004,39633.800136000005,39820.76683200001
40007.733528000004,39633.800136000005,39820.76683200001
40007.733528000004,39633.800136000005,39820.76683200001
40007.733528000004,39633.800136000005,39820.76683200001
40007.733528000004,39633.800136000005,39820.76683200001
40007.733528000004,39633.800136000005,39820.76683200001
40007.733528000004,39633.800136000005,39820.76683200001
40007.733528000004,39633.800136000005,39820.76683200001
40007.733528000004,39633.800136000005,39820.76683200001
40007.733528000004,39633.800136000005,39820.76683200001
40007.733528000004,39633.800136000005,39820.76683200001
40007.733528000004,39633.800136000005,39820.76683200001
40007.733528000004,39633.800136000005,39820.76683200001
40007.733528000004,39633.800136000005,39820.76683200001
40007.733528000004,39633.800136000005,39820.76683200001
40007.733528000004,39633.800136000005,39820.76683200001
40007.733528000004,39633.800136000005,39820.76683200001
40007.733528000004,39633.800136000005,39820.76683200001
39883.200184,39633.800136000005,39758.50016
39868.377952,39633.800136000005,39751.08904400001
39868.377952,39633.800136000005,39751.08904400001
39868.377952,39633.800136000005,39751.08904400001
39868.377952,39633.800136000005,39751.08904400001
39868.377952,39633.800136000005,39751.08904400001
39868.377952,39633.800136000005,39751.08904400001
39868.377952,39633.800136000005,39751.08904400001
39868.377952,39633.800136000005,39751.08904400001
39868.377952,39633.800136000005,39751.08904400001
39868.377952,39633.800136000005,39751.08904400001
39868.377952,39633.800136000005,39751.08904400001
39868.377952,39633.800136000005,39751.08904400001
39868.377952,39633.800136000005,39751.08904400001
39868.377952,39633.800136000005,39751.08904400001
39868.377952,39633.800136000005,39751.08904400001
39868.377952,39633.800136000005,39751.08904400001
39868.377952,39633.800136000005,39751.08904400001
39868.377952,39633.800136000005,39751.08904400001
39868.377952,39633.800136000005,39751.08904400001
39868.377952,39633.800136000005,39751.08904400001
39868.377952,39633.800136000005,39751.08904400001
39868.377952,39633.800136000005,39751.08904400001
39868.377952,39633.800136000005,39751.08904400001
39868.377952,39633.800136000005,39751.08904400001
39868.377952,39633.800136000005,39751.08904400001
39868.377952,39633.800136000005,39751.08904400001
39868.377952,39633.800136000005,39751.08904400001
39868.377952,39633.800136000005,39751.08904400001
39868.377952,39633.800136000005,39751.08904400001
39868.377952,39633.800136000005,39751.08904400001
